                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.77036,                0.37611,                 1.0322,                 0.9935,                0.99569,                0.99478,                0.89367,                0.48064,                0.25185,                0.86556,               0.007624,               0.007624,               0.007624
                     50,                0.75145,                0.37268,                 1.0236,                0.99395,                0.99814,                0.99425,                0.89826,                0.48659,                0.24724,                  0.872,              0.0075745,              0.0075745,              0.0075745
                     51,                0.74111,                0.36641,                 1.0198,                 0.9969,                0.99255,                0.99463,                0.90297,                0.45817,                0.24563,                0.86042,               0.007525,               0.007525,               0.007525
                     52,                0.73701,                 0.3676,                 1.0053,                0.98991,                0.99628,                 0.9943,                0.90566,                0.46146,                0.25571,                0.86422,              0.0074755,              0.0074755,              0.0074755
                     53,                0.75501,                 0.3738,                 1.0299,                0.99587,                0.99628,                0.99478,                 0.9136,                0.45914,                0.23625,                0.86145,               0.007426,               0.007426,               0.007426
                     54,                0.73725,                0.36669,                 1.0193,                0.99686,                0.99441,                0.99495,                0.90012,                0.47261,                 0.2525,                0.86311,              0.0073765,              0.0073765,              0.0073765
                     55,                0.73908,                0.36257,                  1.022,                0.99633,                0.99721,                0.99491,                0.91198,                0.45494,                0.23895,                0.86373,               0.007327,               0.007327,               0.007327
                     56,                0.73341,                0.36197,                 1.0173,                 0.9962,                0.99628,                0.99483,                0.90838,                0.45163,                0.24111,                0.86325,              0.0072775,              0.0072775,              0.0072775
                     57,                0.73746,                 0.3626,                 1.0152,                0.99813,                0.99532,                0.99496,                 0.9038,                0.45665,                0.24025,                0.85568,               0.007228,               0.007228,               0.007228
                     58,                0.75133,                0.36189,                 1.0271,                0.99757,                0.99628,                0.99485,                0.91075,                0.45894,                0.23793,                0.85869,              0.0071785,              0.0071785,              0.0071785
                     59,                0.73292,                0.35904,                  1.013,                0.99743,                0.99721,                0.99488,                0.91124,                 0.4524,                0.23301,                 0.8626,               0.007129,               0.007129,               0.007129
                     60,                0.74229,                0.35998,                 1.0223,                0.99814,                0.99684,                0.99493,                0.91388,                0.44734,                 0.2333,                0.85625,              0.0070795,              0.0070795,              0.0070795
                     61,                0.72507,                0.35624,                 1.0083,                0.99525,                0.99721,                0.99459,                0.91633,                0.44096,                0.23056,                0.85505,                0.00703,                0.00703,                0.00703
                     62,                0.73117,                0.36339,                 1.0135,                0.99619,                0.99721,                 0.9948,                0.91172,                0.46113,                0.23741,                0.86065,              0.0069805,              0.0069805,              0.0069805
