                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.46737,                0.19497,                  0.919,                0.99855,                 0.9986,                0.99497,                0.92847,                0.40275,                0.16668,                0.83192,               0.000218,               0.000218,               0.000218
                     92,                0.44814,                0.18865,                0.90842,                0.99857,                 0.9986,                0.99496,                0.93011,                0.40311,                0.16718,                0.83166,              0.0001982,              0.0001982,              0.0001982
                     93,                0.44617,                0.18658,                0.90634,                0.99858,                 0.9986,                0.99494,                0.93019,                0.40433,                0.16625,                0.83219,              0.0001784,              0.0001784,              0.0001784
                     94,                0.44151,                0.18653,                0.90418,                0.99856,                 0.9986,                0.99496,                 0.9303,                0.40484,                0.16778,                0.83224,              0.0001586,              0.0001586,              0.0001586
                     95,                0.44134,                0.18589,                0.90463,                0.99857,                 0.9986,                0.99493,                0.93161,                0.39934,                0.16789,                0.83099,              0.0001388,              0.0001388,              0.0001388
                     96,                0.43238,                0.18424,                0.89879,                0.99854,                 0.9986,                0.99494,                0.93156,                0.40051,                0.16633,                0.83145,               0.000119,               0.000119,               0.000119
                     97,                0.43844,                0.18444,                0.90111,                0.99855,                 0.9986,                0.99496,                0.93046,                0.40179,                0.16591,                0.83159,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.42965,                0.18234,                0.89663,                0.99855,                 0.9986,                0.99496,                0.93123,                0.40182,                0.16441,                0.83124,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.42814,                 0.1817,                0.89674,                0.99855,                 0.9986,                0.99497,                0.93128,                0.40102,                0.16437,                0.83067,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.42252,                0.17998,                0.89533,                0.99855,                 0.9986,                0.99497,                 0.9329,                0.40058,                 0.1642,                0.83084,               3.98e-05,               3.98e-05,               3.98e-05
