                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.51699,                0.21677,                0.94019,                0.99861,                 0.9999,                  0.995,                0.93236,                  0.396,                0.16791,                0.82969,                0.00109,                0.00109,                0.00109
                     92,                0.50654,                0.21133,                0.93141,                0.99861,                0.99991,                0.99499,                0.93111,                0.39634,                0.16735,                0.82986,               0.000991,               0.000991,               0.000991
                     93,                 0.4959,                0.20782,                0.92703,                0.99861,                 0.9999,                0.99499,                0.93105,                0.39728,                0.16693,                0.83005,               0.000892,               0.000892,               0.000892
                     94,                0.49365,                 0.2066,                0.92439,                0.99861,                0.99991,                0.99497,                0.93161,                0.39672,                0.16689,                0.82984,               0.000793,               0.000793,               0.000793
                     95,                  0.487,                0.20321,                0.92195,                0.99861,                0.99991,                0.99497,                0.93133,                0.39614,                0.16683,                0.82974,               0.000694,               0.000694,               0.000694
                     96,                0.48539,                0.20316,                 0.9219,                0.99861,                0.99991,                0.99497,                0.93167,                0.39652,                 0.1664,                0.82954,               0.000595,               0.000595,               0.000595
                     97,                0.48075,                0.20035,                0.92082,                0.99861,                0.99991,                0.99497,                  0.932,                0.39627,                0.16601,                 0.8293,               0.000496,               0.000496,               0.000496
                     98,                0.47387,                0.19791,                0.91729,                0.99861,                 0.9999,                0.99496,                0.93228,                0.39567,                 0.1651,                0.82911,               0.000397,               0.000397,               0.000397
                     99,                0.46834,                0.19577,                0.91218,                0.99861,                 0.9999,                0.99496,                0.93236,                0.39593,                0.16573,                0.82907,               0.000298,               0.000298,               0.000298
                    100,                0.46915,                0.19605,                0.91577,                0.99861,                0.99989,                0.99494,                0.93251,                0.39545,                0.16462,                0.82892,               0.000199,               0.000199,               0.000199
