                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.3772,                0.58879,                 1.9688,                0.98577,                0.98045,                0.99443,                0.91983,                 0.8728,                0.37082,                 1.6993,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3914,                 0.6017,                 1.9832,                0.98995,                0.98324,                0.99431,                 0.9127,                0.89215,                0.37771,                 1.7048,               0.005842,               0.005842,               0.005842
                     86,                 1.3709,                0.58281,                 1.9715,                0.97992,                0.98696,                0.99425,                0.91529,                0.86851,                0.37994,                 1.6903,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.3612,                 0.5961,                 1.9631,                0.98278,                0.97952,                0.99356,                0.91669,                0.87154,                0.38236,                 1.7007,               0.005743,               0.005743,               0.005743
                     88,                 1.3588,                0.59882,                 1.9571,                0.97421,                0.98465,                0.99386,                 0.9153,                0.88377,                0.39569,                 1.6933,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.3555,                0.58203,                  1.972,                0.98236,                0.98523,                0.99435,                0.91672,                0.86667,                0.36083,                 1.6924,               0.005644,               0.005644,               0.005644
                     90,                  1.361,                0.60103,                 1.9641,                0.98861,                0.96982,                0.99421,                0.91698,                0.86847,                0.36787,                 1.6982,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3597,                 0.6008,                 1.9696,                 0.9879,                 0.9851,                 0.9946,                0.91579,                0.86671,                0.35372,                 1.6946,               0.005545,               0.005545,               0.005545
                     92,                 1.3954,                0.60526,                 2.0059,                0.97412,                0.99162,                 0.9941,                0.91439,                0.87974,                0.36968,                 1.7034,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3484,                0.57712,                 1.9527,                0.98422,                0.98734,                0.99454,                0.91551,                0.87154,                0.35714,                 1.6949,               0.005446,               0.005446,               0.005446
                     94,                 1.3685,                0.58793,                 1.9625,                0.98696,                0.98678,                0.99452,                0.92008,                0.84355,                0.34852,                 1.6872,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3366,                 0.5711,                 1.9555,                 0.9879,                0.98417,                 0.9945,                0.91827,                0.86456,                0.36465,                 1.6941,               0.005347,               0.005347,               0.005347
                     96,                 1.3804,                0.58781,                 1.9914,                0.98417,                0.98408,                0.99421,                0.91259,                0.86664,                0.36612,                 1.6989,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2994,                0.55947,                 1.9155,                0.99155,                 0.9851,                0.99427,                0.91817,                0.85083,                0.34893,                 1.6919,               0.005248,               0.005248,               0.005248
                     98,                 1.3422,                0.57463,                 1.9716,                  0.987,                0.98958,                0.99459,                  0.919,                0.83764,                0.35254,                 1.6917,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3253,                0.56419,                 1.9509,                0.98417,                0.98382,                0.99442,                0.92147,                0.85328,                0.35338,                 1.6898,               0.005149,               0.005149,               0.005149
                    100,                 1.3377,                 0.5729,                 1.9431,                0.98936,                0.98883,                0.99457,                0.92199,                0.83887,                 0.3439,                 1.6817,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.3453,                0.56528,                 1.9597,                0.98047,                0.98976,                0.99437,                0.91954,                0.84424,                0.35558,                 1.6837,                0.00505,                0.00505,                0.00505
                    102,                 1.3297,                0.58233,                 1.9564,                0.99161,                0.98993,                0.99475,                0.91913,                 0.8436,                 0.3352,                 1.6837,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3323,                0.57409,                 1.9529,                0.98876,                0.99069,                0.99464,                0.91775,                0.85879,                0.34294,                 1.6874,               0.004951,               0.004951,               0.004951
